lat,lon,CMFD_lat,CMFD_lon,soil_1_MAJORITY,soil_2_MAJORITY,soil_3_MAJORITY,soil_4_MAJORITY,soil_5_MAJORITY,soil_6_MAJORITY,soil_7_MAJORITY,soil_8_MAJORITY,soil_9_MAJORITY,soil_10_MAJORITY,soil_11_MAJORITY,soil_12_MAJORITY,soil_13_MAJORITY,soil_14_MAJORITY,soil_15_MAJORITY,soil_16_MAJORITY,soil_17_MAJORITY,soil_18_MAJORITY,Soil_htype,ORIG_FID,slope_MEAN,aspect_MEAN,ele_MEAN,Vegetation_type_index,soil_1,soil_2,soil_3,soil_4,soil_5,soil_6,soil_7,soil_8,soil_9,soil_10,soil_11,soil_12,soil_13,soil_14,soil_15,soil_16,soil_17,soil_18
31.8,91.1,31.82,91.06,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,12,12,12,12,13,13,13,13, 7  9  9  7  9  9  9  9  9  7  7  12  12  12  13  7  7  13,8589,1.004575342,163.6483417,4746.944444,7.0,7.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,12.0,12.0,12.0,13.0,7.0,7.0,13.0
31.8,91.2,31.82,91.16,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,12,12,12,12,13,13,13,13, 7  7  7  7  7  7  7  7  7  7  12  12  12  12  13  13  13  13,8590,1.323823094,221.04011409999998,4715.333333,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0
31.9,91.2,31.92,91.16,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,12,12,12,12,12,13,13,13, 7  7  7  7  9  9  9  7  7  7  9  12  12  12  12  12  12  16,8842,0.697308287,59.15537548,4718.625,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,7.0,7.0,7.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,16.0
32.0,91.2,32.02,91.16,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,12,12,12,12,13,13,13,13, 7  7  7  7  7  7  7  7  7  7  7  12  12  12  13  13  13  14,9095,0.390581265,112.67819209999999,4717.625,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,14.0
31.8,91.3,31.82,91.26,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,12,12,13,13,13,13,13,13, 7  7  7  7  7  7  7  7  7  7  12  12  13  13  13  13  13  13,8591,1.5703416140000002,139.58593069999998,4917.944444,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0
31.9,91.3,31.92,91.26,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,12,12,12,12,13,13,13,13, 7  7  7  7  7  7  7  7  7  7  12  12  12  12  13  13  13  13,8843,0.814713617,77.80421058,4642.333333,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0
32.0,91.3,32.02,91.26,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,7,12,12,12,13,13,13,13, 7  7  7  7  7  7  7  7  7  7  7  12  12  12  13  13  13  13,9096,0.640207979,152.0545705,4620.416667,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0
32.1,91.3,32.12,91.26,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,12,12,12,12,12,12,13,13,13,13, 7  7  7  7  7  7  7  7  7  7  7  12  12  12  13  13  13  13,9351,0.581162305,154.0675986,4732.388889,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0
32.2,91.3,32.22,91.26,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,12,12,12,12,12,13,13,13,13,13, 7  7  7  7  7  7  7  14  14  14  14  14  14  14  14  14  14  14,9606,1.212381323,174.22881830000003,4892.75,19.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
31.8,91.4,31.82,91.36,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,12,12,12,12,13,13,13,13, 7  7  7  7  7  7  7  7  7  7  12  12  12  12  13  13  13  13,8592,1.1573338709999998,66.91331546,4701.25,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0
31.9,91.4,31.92,91.36,16.0,16.0,16.0,16.0,16.0,16.0,16.0,7,7,7,7,12,12,12,13,13,13,13, 7  7  7  7  7  7  7  7  7  7  7  12  12  12  13  13  13  13,8844,0.35956362299999994,36.57430601,4593.0,21.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0
32.0,91.4,32.02,91.36,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16,16,16,16,16,16,16,16,16,16,16, 14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14,9097,0.156197096,169.6813641,4585.0,9.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
32.1,91.4,32.12,91.36,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,7,12,12,12,13,13,13,13, 7  7  7  7  7  7  7  7  7  7  7  7  12  16  16  16  16  16,9352,0.854029067,139.7767995,4645.25,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,16.0,16.0,16.0,16.0,16.0
32.2,91.4,32.22,91.36,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,12,12,12,12,12,13,13,13,13,13, 7  7  7  7  7  7  7  7  12  12  12  12  12  13  13  13  13  14,9607,1.128576308,191.10043330000002,4830.875,19.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,14.0
32.3,91.4,32.32,91.36,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,12,12,12,12,12,13,13,13,13,13, 7  7  7  7  7  7  7  7  12  12  12  12  16  16  16  16  16  16,9862,1.253851225,231.3556315,5018.333333,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,16.0,16.0,16.0,16.0,16.0,16.0
32.4,91.4,32.42,91.36,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,12,12,12,12,12,13,13,13,13,13, 7  7  7  7  7  7  7  7  12  12  12  12  12  13  16  16  16  16,10116,1.416354686,259.5323751,5026.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,13.0,16.0,16.0,16.0,16.0
31.8,91.5,31.82,91.46,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,7,12,12,12,13,13,13,13, 7  7  7  7  7  7  7  7  7  7  7  12  12  12  13  13  13  13,8593,0.392317311,190.18490409999998,4600.583333,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0
31.9,91.5,31.92,91.46,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  7  7  7  7  7  7  12  12  12  13  7  7  13,8845,0.729518443,229.88893509999997,4626.25,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,7.0,7.0,13.0
